sportCode,sportCategoryCode,date,time,start,venueId,scoreType,participant[0].facultyId,participant[1].facultyId,status
BK,TEAM-W,2023-03-16,17:40,2023-03-16T10:40:00.000Z,5,POINT,7,2,SCHEDULE
BK,TEAM-W,2023-03-16,18:15,2023-03-16T11:15:00.000Z,5,POINT,1,15,SCHEDULE
BK,TEAM-W,2023-03-16,18:50,2023-03-16T11:50:00.000Z,5,POINT,21,17,SCHEDULE
BK,TEAM-W,2023-03-16,19:25,2023-03-16T12:25:00.000Z,5,POINT,1,5,SCHEDULE
BK,TEAM-W,2023-03-17,16:30,2023-03-17T09:30:00.000Z,5,POINT,19,9,SCHEDULE
BK,TEAM-W,2023-03-17,17:05,2023-03-17T10:05:00.000Z,5,POINT,23,13,SCHEDULE
BK,TEAM-W,2023-03-17,17:40,2023-03-17T10:40:00.000Z,5,POINT,12,18,SCHEDULE
BK,TEAM-W,2023-03-17,18:15,2023-03-17T11:15:00.000Z,5,POINT,10,14,SCHEDULE
BK,TEAM-W,2023-03-17,18:50,2023-03-17T11:50:00.000Z,5,POINT,3,6,SCHEDULE
BK,TEAM-W,2023-03-17,19:25,2023-03-17T12:25:00.000Z,5,POINT,15,11,SCHEDULE
BK,TEAM-W,2023-03-22,16:30,2023-03-22T09:30:00.000Z,5,POINT,7,9,SCHEDULE
BK,TEAM-W,2023-03-22,17:05,2023-03-22T10:05:00.000Z,5,POINT,19,17,SCHEDULE
BK,TEAM-W,2023-03-22,17:40,2023-03-22T10:40:00.000Z,5,POINT,5,8,SCHEDULE
BK,TEAM-W,2023-03-22,18:15,2023-03-22T11:15:00.000Z,5,POINT,6,1,SCHEDULE
BK,TEAM-W,2023-03-22,18:50,2023-03-22T11:50:00.000Z,5,POINT,18,21,SCHEDULE
BK,TEAM-W,2023-03-22,19:25,2023-03-22T12:25:00.000Z,5,POINT,1,10,SCHEDULE
BK,TEAM-W,2023-03-23,16:30,2023-03-23T09:30:00.000Z,5,POINT,23,9,SCHEDULE
BK,TEAM-W,2023-03-23,17:10,2023-03-23T10:10:00.000Z,5,POINT,14,4,SCHEDULE
BK,TEAM-W,2023-03-23,17:50,2023-03-23T10:50:00.000Z,5,POINT,6,12,SCHEDULE
BK,TEAM-W,2023-03-23,18:30,2023-03-23T11:30:00.000Z,5,POINT,11,3,SCHEDULE
BK,TEAM-W,2023-03-23,19:10,2023-03-23T12:10:00.000Z,5,POINT,13,2,SCHEDULE
BK,TEAM-W,2023-03-24,16:30,2023-03-24T09:30:00.000Z,5,POINT,8,14,SCHEDULE
BK,TEAM-W,2023-03-24,17:10,2023-03-24T10:10:00.000Z,5,POINT,6,15,SCHEDULE
BK,TEAM-W,2023-03-24,17:50,2023-03-24T10:50:00.000Z,5,POINT,18,17,SCHEDULE
BK,TEAM-W,2023-03-24,18:30,2023-03-24T11:30:00.000Z,5,POINT,19,23,SCHEDULE
BK,TEAM-W,2023-03-24,19:10,2023-03-24T12:10:00.000Z,5,POINT,4,1,SCHEDULE
BK,TEAM-W,2023-03-27,16:30,2023-03-27T09:30:00.000Z,5,POINT,2,23,SCHEDULE
BK,TEAM-W,2023-03-27,17:10,2023-03-27T10:10:00.000Z,5,POINT,21,6,SCHEDULE
BK,TEAM-W,2023-03-27,17:50,2023-03-27T10:50:00.000Z,5,POINT,19,12,SCHEDULE
BK,TEAM-W,2023-03-27,18:30,2023-03-27T11:30:00.000Z,5,POINT,1,5,SCHEDULE
BK,TEAM-W,2023-03-27,19:10,2023-03-27T12:10:00.000Z,5,POINT,1,3,SCHEDULE
BK,TEAM-W,2023-03-28,16:30,2023-03-28T09:30:00.000Z,5,POINT,2,9,SCHEDULE
BK,TEAM-W,2023-03-28,17:10,2023-03-28T10:10:00.000Z,5,POINT,7,23,SCHEDULE
BK,TEAM-W,2023-03-28,17:50,2023-03-28T10:50:00.000Z,5,POINT,1,14,SCHEDULE
BK,TEAM-W,2023-03-28,18:30,2023-03-28T11:30:00.000Z,5,POINT,18,19,SCHEDULE
BK,TEAM-W,2023-03-28,19:10,2023-03-28T12:10:00.000Z,5,POINT,21,12,SCHEDULE
BK,TEAM-W,2023-03-29,16:30,2023-03-29T09:30:00.000Z,5,POINT,13,7,SCHEDULE
BK,TEAM-W,2023-03-29,17:10,2023-03-29T10:10:00.000Z,5,POINT,19,13,SCHEDULE
BK,TEAM-W,2023-03-29,17:50,2023-03-29T10:50:00.000Z,5,POINT,17,6,SCHEDULE
BK,TEAM-W,2023-03-29,18:30,2023-03-29T11:30:00.000Z,5,POINT,4,5,SCHEDULE
BK,TEAM-W,2023-03-29,19:10,2023-03-29T12:10:00.000Z,5,POINT,8,10,SCHEDULE
