sportCode,sportCategoryCode,date,time,start,venueId,scoreType,participant[0].facultyId,participant[1].facultyId,status
BS,TEAM,2023-03-20,16:30,2023-03-20T09:30:00.000Z,5,POINT,19,2,SCHEDULE
BS,TEAM,2023-03-20,17:00,2023-03-20T10:00:00.000Z,5,POINT,19,18,SCHEDULE
BS,TEAM,2023-03-20,17:30,2023-03-20T10:30:00.000Z,5,POINT,2,18,SCHEDULE
BS,TEAM,2023-03-20,18:00,2023-03-20T11:00:00.000Z,5,POINT,19,8,SCHEDULE
BS,TEAM,2023-03-20,18:30,2023-03-20T11:30:00.000Z,5,POINT,8,7,SCHEDULE
BS,TEAM,2023-03-20,19:00,2023-03-20T12:00:00.000Z,5,POINT,19,7,SCHEDULE
BS,TEAM,2023-03-21,16:30,2023-03-21T09:30:00.000Z,5,POINT,,,SCHEDULE
BS,TEAM,2023-03-21,17:00,2023-03-21T10:00:00.000Z,5,POINT,,,SCHEDULE
